title,genre,country,production_company,runtime,release_date,overview,tagline,budget,revenue,popularity,vote_average,vote_count,poster_path,tmdb_id,imdb_id
The Lord of the Rings: The Return of the King,Adventure,New Zealand,WingNut Films,201,12/1/03,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The eye of the enemy is moving.,94000000,1118888979,29.324358,8.1,8226,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,122,tt0167260
King Kong,Adventure,New Zealand,WingNut Films,187,12/14/05,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,207000000,550000000,19.761164,6.6,2403,/iQYMVoI9QE2wQCOSrxhiBYd4v0w.jpg,254,tt0360717
Pearl Harbor,History,United States of America,Jerry Bruckheimer Films,183,5/21/01,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",It takes a moment to change history. It takes love to change lives.,140000000,449220945,11.419388,6.6,1833,/gzjMpcyV1RksWonaA87DZ8wQTH0.jpg,676,tt0213149
The Wolf of Wall Street,Crime,United States of America,Paramount Pictures,180,12/25/13,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",EARN. SPEND. PARTY.,100000000,392000694,16.382422,7.9,6768,/vK1o5rZGqxyovfIhZyMELhk03wO.jpg,106646,tt0993846
INLAND EMPIRE,Horror,Poland,Asymmetrical Productions,180,9/6/06,An actress's perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.,A woman in trouble,0,849055,6.610774,7.1,249,/xQKF94NvqsHCuGUjgvJ5Etgnryu.jpg,1730,tt0460829
The Lord of the Rings: The Two Towers,Adventure,New Zealand,WingNut Films,179,12/18/02,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",A New Power Is Rising.,79000000,926287400,29.423537,8,7641,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,121,tt0167261
The Lord of the Rings: The Fellowship of the Ring,Adventure,New Zealand,WingNut Films,178,12/18/01,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all,93000000,871368364,32.070725,8,8892,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,120,tt0120737
Alexander,War,France,France 3 Cinma,175,11/21/04,"Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",The greatest legend of all was real.,155000000,167298192,13.498641,5.6,957,/cJrnmbsFm5cEt0pHZZ2a1ueH5aT.jpg,1966,tt0346491
Cloud Atlas,Drama,Germany,Anarchos Productions,172,10/26/12,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",Everything is Connected,102000000,130482868,13.494246,6.6,3031,/8VNiyIp67ZxhpNgdrwACW0jgvP2.jpg,83542,tt1371111
The Aviator,Drama,United States of America,Miramax Films,170,12/17/04,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.","For some men, the sky was the limit. For him, it was just the beginning.",116000000,102000000,9.86738,7,1526,/3MKBQgIHI5DPVNvryiTesskS5mf.jpg,2567,tt0338751
Interstellar,Adventure,Canada,Paramount Pictures,169,11/5/14,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Mankind was born on Earth. It was never meant to die here.,165000000,675120017,32.213481,8.1,11187,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,157336,tt0816692
Pirates of the Caribbean: At World's End,Adventure,United States of America,Walt Disney Pictures,169,5/19/07,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",300000000,961000000,31.363664,6.9,4627,/bXb00CkHqx7TPchTGG131sWV59y.jpg,285,tt0449088
The Hobbit: An Unexpected Journey,Adventure,New Zealand,WingNut Films,169,11/26/12,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",From the smallest beginnings come the greatest legends.,250000000,1021103568,23.253089,7,8427,/ysX7vDmSh5O19vFjAi56WL7l4nk.jpg,49051,tt0903624
The Hateful Eight,Crime,United States of America,Double Feature Films,167,12/25/15,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,No one comes up here without a damn good reason.,44000000,155760117,20.328822,7.6,4405,/fqe8JxDNO8B8QfOGTdjh6sPCdSC.jpg,273248,tt3460252
Gangs of New York,Drama,United States of America,Miramax Films,167,12/14/02,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",America was born in the streets.,100000000,193772504,14.922399,7.1,1964,/ytKo2tLvKUd9Kbs0poXSQh6ft7d.jpg,3131,tt0217505
The Good Shepherd,Drama,United States of America,Universal Pictures,167,12/11/06,"Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family.",The untold story of the most powerful covert agency in the world.,85000000,59908565,11.057536,6.3,342,/s2RYkRXrjUIyOlmzym37kpLTKRz.jpg,1247,tt0343737
The Curious Case of Benjamin Button,Fantasy,United States of America,Paramount Pictures,166,11/24/08,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.","Life isn't measured in minutes, but in moments.",150000000,333932083,17.934821,7.3,3398,/4O4INOPtWTfHq3dd5vYTPV0TCwa.jpg,4922,tt0421715
The Dark Knight Rises,Action,United States of America,Legendary Pictures,165,7/16/12,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,250000000,1084939099,20.58258,7.6,9263,/dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg,49026,tt1345836
Django Unchained,Drama,United States of America,Columbia Pictures,165,12/25/12,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Life, liberty and the pursuit of vengeance.",100000000,425368238,19.785025,7.8,10297,/5WJnxuw41sddupf8cwOxYftuvJG.jpg,68718,tt1853728
Transformers: Age of Extinction,Science Fiction,United States of America,Paramount Pictures,165,6/25/14,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",This is not war. It's extinction.,210000000,1091405097,18.495599,5.8,3136,/ykIZB9dYBIKV13k5igGFncT5th6.jpg,91314,tt2109248
Australia,Drama,Australia,Bazmark Films,165,11/18/08,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",Welcome to Australia!,130000000,49554002,9.566135,6.3,712,/lgnwsUpqmEz40guXX92ACETptpB.jpg,6972,tt0455824
Munich,Drama,Canada,DreamWorks SKG,164,12/22/05,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.",The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,70000000,130358911,9.668761,7,706,/3pnsX1egUElYvgmAcCqYvXVOY9O.jpg,612,tt0408306
Boyhood,Drama,United States of America,IFC Films,164,6/5/14,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",12 years in the making.,4000000,44349000,6.430591,7.5,2008,/eKi4e5zXhQKs0De4xu5AAMvu376.jpg,85350,tt1065073
Watchmen,Action,United States of America,Paramount Pictures,163,3/5/09,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",Justice is coming to all of us.  No matter what we do.,130000000,185258983,16.551503,7,2892,/1QqwJBv5a6ddgzaT6cLytJioyrJ.jpg,13183,tt0409459
Troy,Adventure,United States of America,Plan B Entertainment,163,5/13/04,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",For passion. For honor. For destiny. For victory. For love.,175000000,497409852,15.387275,6.9,2841,/edMlij7nw2NMla32xskDnzMCFBM.jpg,652,tt0332452
Avatar,Action,United States of America,Ingenious Film Partners,162,12/10/09,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,237000000,2787965087,185.070892,7.2,12114,/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg,19995,tt0499549
American Honey,Drama,United Kingdom,British Film Institute (BFI),162,9/30/16,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",,0,1751330,7.78179,6.5,213,/qV2t4Eu6nMbhf6frWYnVXPqKJYT.jpg,340485,tt3721936
Harry Potter and the Chamber of Secrets,Adventure,Germany,1492 Pictures,161,11/13/02,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",Hogwarts is back in session.,100000000,876688482,29.741452,7.4,5966,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,672,tt0295297
The Hobbit: The Desolation of Smaug,Adventure,New Zealand,WingNut Films,161,12/11/13,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Beyond darkness... beyond desolation... lies the greatest danger of all.,250000000,958400000,20.644776,7.6,4633,/gQCiuxGsfiXH1su6lp9n0nd0UeH.jpg,57158,tt1170358
Silence,Drama,Mexico,CatchPlay,161,12/22/16,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",Sometimes silence is the deadliest sound,46000000,23737523,14.16938,7,754,/sHM6i6se7mwKGRDvW4nQC7dkeKI.jpg,68730,tt0490215
Enter the Void,Fantasy,Canada,BIM Distribuzione,161,5/5/09,"This psychedelic tour of life after death is seen entirely from the point of view of Oscar (Nathaniel Brown), a young American drug dealer and addict living in Tokyo with his prostitute sister, Linda (Paz de la Huerta). When Oscar is killed by police during a bust gone bad, his spirit journeys from the past -- where he sees his parents before their deaths -- to the present -- where he witnesses his own autopsy -- and then to the future, where he looks out for his sister from beyond the grave.",,13000000,754249,8.378149,7.2,397,/AvD7oAOit8FZYG1fH2GA5SPLDst.jpg,34647,tt1191111
The Assassination of Jesse James by the Coward Robert Ford,Action,Canada,Plan B Entertainment,160,9/2/07,"Outlaw Jesse James is rumored be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",Beyond the myth lies America's greatest betrayal,30000000,14711793,10.111313,7,792,/lSFYLoaL4eW7Q5VQ7SZQP4EHRCt.jpg,4512,tt0443680
2012,Action,Canada,Columbia Pictures,158,10/10/09,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",We Were Warned.,200000000,769653595,16.698628,5.6,4994,/5tIW9nTuxxy8iXSvsKJqFDVZpyg.jpg,14161,tt1190080
The Girl with the Dragon Tattoo,Thriller,Norway,Columbia Pictures,158,12/14/11,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",Evil shall with evil be expelled.,90000000,232617430,8.907829,7.2,2479,/voxRWFTtagLiqnJQs9tWQLB0MN.jpg,65754,tt1568346
There Will Be Blood,Drama,United States of America,Miramax Films,158,12/28/07,"When ruthless oil prospector, Daniel Plainview learns of oil-rich land in California that can be bought cheaply, he moves his operation there and begins manipulating and exploiting the local landowners into selling him their property. Using his young adopted son to project the image of a caring family man, Plainview gains the cooperation of almost all the locals with lofty promises to build schools and cultivate the land to make their community flourish. Over time, Plainview's gradual accumulation of wealth and power causes his true self to surface, and he begins to slowly alienate himself from everyone in his life.",There Will Be Greed. There Will Be Vengeance.,25000000,77208711,8.200627,7.9,1581,/gULACAZnPnyauix3mgMKG63UkXt.jpg,7345,tt0469494
Harry Potter and the Goblet of Fire,Adventure,United Kingdom,Patalex IV Productions Limited,157,11/5/05,"Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.",Dark And Difficult Times Lie Ahead.,150000000,895921036,24.903058,7.5,5758,/6sASqcdrEHXxUhA3nFpjrRecPD2.jpg,674,tt0330373
Zodiac,Crime,United States of America,Paramount Pictures,157,3/2/07,"The true story of the investigation of 'The Zodiac Killer',  a serial killer who terrified the San Francisco Bay Area, taunting police with his ciphers and letters. The case becomes an obsession for four men as their lives and careers are built and destroyed by the endless trail of clues.",There's more than one way to lose your life to a killer.,65000000,84785914,19.083823,7.3,2080,/bgLyOROfFQI3FqYL7jQbiaV8lkN.jpg,1949,tt0443706
Les Misérables,Drama,United Kingdom,Universal Pictures,157,12/18/12,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",Fight. Dream. Hope. Love.,61000000,441809770,13.52408,7.2,1925,/qEsrAHoxj746FRb7OLGYjrx1AI3.jpg,82695,tt1707386
Zero Dark Thirty,Thriller,United States of America,Columbia Pictures,157,12/19/12,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.",The Greatest Manhunt in History,40000000,132820716,9.649303,6.7,1723,/yg6IDNucLAEj7E5loTyTnUW2pgb.jpg,97630,tt1790885
American Gangster,Drama,United Kingdom,Imagine Entertainment,157,11/2/07,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.",There are two sides to the American dream,100000000,266465037,9.644542,7.4,1527,/uDSP5H5akJ85xMGSHRtaqHGBRLD.jpg,4982,tt0765429
Ali,Drama,United States of America,Columbia Pictures Corporation,157,12/11/01,"In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene; Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",Float like a butterfly and sting like a bee.,107000000,87713825,9.303104,6.7,457,/gCGoMZXGdU7DY8xgKYle6dJGksT.jpg,8489,tt0248667
The Revenant,Western,Canada,Regency Enterprises,156,12/25/15,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.","(n. One who has returned, as if from the dead.)",135000000,532950503,23.501228,7.3,6558,/oXUWEc5i3wYyFnL1Ycu8ppxxPvs.jpg,281957,tt1663202
Mr. Nobody,Science Fiction,Belgium,Pan Europenne Production,156,9/11/09,"Nemo Nobody leads an ordinary existence with his wife and 3 children; one day, he wakes up as a mortal centenarian in the year 2092.","Nothing is real, everything is possible.",47000000,3547209,11.817059,7.9,1616,/jxd2XSsnUHHUbo50nzVnVnHRPVJ.jpg,31011,tt0485947
The Physician,Adventure,Germany,ARD Degeto Film,155,12/25/13,"The story of Rob Cole, a boy who is left a penniless orphan in an 11th-century English mining town when his mother dies of a mysterious illness. Vowing to become a physician and vanquish Death itself, he travels to Isfahan in Persia to study medicine under the great Ibn Sina. Through countless ordeals and challenges, and making many sacrifices along the way, he struggles on unwaveringly. His unflagging quest for knowledge leads to the blossoming of friendship and true love.",,32000000,57284237,13.332387,7.2,365,/zOnuvmY4vuabnkEZwQAXvErIaTE.jpg,169881,tt2101473
The Last Samurai,Drama,Japan,Cruise/Wagner Productions,154,12/5/03,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.","In the face of an enemy, in the heart of one man, lies the soul of a warrior.",140000000,456758981,19.582325,7.3,1946,/sLv5pXysIz7QbtKFJy85d5yxv2W.jpg,616,tt0325710
Superman Returns,Adventure,United States of America,DC Comics,154,6/28/06,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",,270000000,391081192,13.284712,5.4,1429,/e3aLTaD5ppxo3en0GAGceekEPAe.jpg,1452,tt0348150
Cold Mountain,Drama,United States of America,Miramax Films,154,12/24/03,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.",Find the strength. Find the courage. No matter what it takes... find the way home.,79000000,173013509,9.645543,6.7,545,/4da24dJQZSGep4FJ2U9jU9G8qJr.jpg,2289,tt0159365
Transformers: Dark of the Moon,Action,United States of America,Paramount Pictures,154,6/28/11,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",The invasion we always feared. An enemy we never expected.,195000000,1123746996,4.503505,6.1,3351,/sZY3ls18QTY0pFBJn2vl2MmauTQ.jpg,38356,tt1399103
Harry Potter and the Half-Blood Prince,Adventure,United Kingdom,Warner Bros.,153,7/7/09,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Dark Secrets Revealed,250000000,933959197,19.083723,7.4,5435,/bFXys2nhALwDvpkF3dP3Vvdfn8b.jpg,767,tt0417741
Inglourious Basterds,Drama,Germany,Universal Pictures,153,8/18/09,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",Once upon a time in Nazi occupied France...,70000000,319131050,16.89564,7.9,6598,/ai0LXkzVM3hMjDhvFdKMUemoBe.jpg,16869,tt0361748
Prisoners,Drama,United States of America,Alcon Entertainment,153,9/18/13,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",Every moment matters.,46000000,122126687,11.96262,7.9,3183,/yAhqW57pwMAsCgmZpM5zSIVQVTh.jpg,146233,tt1392214
The Dark Knight,Drama,United Kingdom,DC Comics,152,7/16/08,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Why So Serious?,185000000,1004558444,123.167259,8.3,12269,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,155,tt0468569
Harry Potter and the Philosopher's Stone,Adventure,United Kingdom,1492 Pictures,152,11/16/01,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",Let the Magic Begin.,125000000,976475550,38.187238,7.5,7188,/dCtFvscYcXQKTNvyyaQr2g2UacJ.jpg,671,tt0241527
Ray,Drama,United States of America,Universal Pictures,152,10/29/04,"Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered couping gospel and country together.",The extraordinary life story of Ray Charles.,40000000,124731534,10.603762,7.2,481,/fPDsBL0MdegEvyPhim9b5srHOqG.jpg,1677,tt0350258
The Majestic,Drama,United States of America,Village Roadshow Pictures,152,12/21/01,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.",Sometimes your life comes into focus one frame at a time.,72000000,37317558,8.063684,6.6,193,/A7P4oUpLl4tmgUn0oQjTb0nRjW4.jpg,11086,tt0268995
Romanzo criminale,Drama,Italy,Warner Bros.,152,9/30/05,"The Lebanese has a dream: to conquer the underworld of Rome. To carry out this feat without precedent he puts together a ruthless and highly organized gang. Their progress and changes in leadership take place over 25 years, from the 1970s into the 90s, and are inseparably intertwined with the dark history of modern Italy: terrorism, kidnappings and corruption at the highest levels of government.",,818418,4851244,4.387586,7.3,112,/phn31hZDhGTzdbZoihuD62tm1PI.jpg,14375,tt0418110
Batman v Superman: Dawn of Justice,Action,United States of America,DC Comics,151,3/23/16,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,250000000,873260194,31.435879,5.7,7189,/cGOPbv9wA5gEejkUN892JrveARt.jpg,209112,tt2975590
Pirates of the Caribbean: Dead Man's Chest,Adventure,United States of America,Walt Disney Pictures,151,6/20/06,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,200000000,1065659812,29.455314,7,5380,/waFr5RVKaQ9dzOt3nQuIVB1FiPu.jpg,58,tt0383574
The Departed,Drama,Hong Kong,Vertigo Entertainment,151,10/5/06,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",Lies. Betrayal. Sacrifice. How far will you take it?,90000000,289847354,18.515448,7.9,4455,/tGLO9zw5ZtCeyyEWgbYGgsFxC6i.jpg,1422,tt0407887
Exodus: Gods and Kings,Adventure,Spain,Scott Free Productions,150,12/3/14,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.","Once brothers, now enemies.",140000000,268031828,16.320249,5.6,1957,/ycDcPCpWM7hSdIR6tFkOzQPkve2.jpg,147441,tt1528100
The Pianist,Drama,France,Bac Films,150,9/24/02,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,Music was his passion. Survival was his masterpiece.,35000000,120072577,14.811594,8.1,1927,/iunmxWkOi7Vk17Ob3G2HwwjgHsr.jpg,423,tt0253474
The Chronicles of Narnia: Prince Caspian,Adventure,Czech Republic,Walt Disney,150,5/15/08,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Hope has a new face.,225000000,419651413,12.490891,6.3,1668,/mEHd5n927ifJEODgbtC09Faqwcg.jpg,2454,tt0499448
Mr. Turner,History,United Kingdom,Film4,150,10/31/14,"Eccentric British painter J.M.W. Turner  lives his last 25 years with gusto and secretly becomes involved with a seaside landlady, while his faithful housekeeper bears an unrequited love for him.",,0,5405500,6.328696,6.3,207,/uZkqc8bHT0XPQrCKZV8QAtmT4cI.jpg,245700,tt2473794
Transformers: Revenge of the Fallen,Science Fiction,United States of America,Paramount Pictures,150,6/19/09,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Revenge is coming.,150000000,836297228,4.351756,6,3192,/kVISXAXDYhjQCfu50QZeCCzzbPv.jpg,8373,tt1055369
Transformers: The Last Knight,Action,United States of America,Paramount Pictures,149,6/21/17,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.","For one world to live, the other must die.",260000000,604942143,39.186819,6.2,1440,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,335988,tt3371366
