title,genre,country,production_company,runtime,release_date,overview,tagline,budget,revenue,popularity,vote_average,vote_count,poster_path,tmdb_id,imdb_id
The Babadook,Drama,Canada,South Australian Film Corporation,93,5/22/14,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.","If it's in a word, or it's in a look, you can't get rid of the Babadook.",2000000,6676471,8.832788,6.5,1890,/ohg11LlgBhuM2HKDslUpXSXjO6p.jpg,242224,tt2321549
Stormbreaker,Adventure,Germany,Isle of Man Film,93,7/21/06,"Alex Rider thinks he is a normal school boy, until his uncle is killed. He discovers that his uncle was actually spy on a mission, when he was killed. Alex is recruited by Alan Blunt to continue the mission. He is sent to Cornwall to investigate a new computer system, which Darrius Sayle has created. He plans to give the new computer systems to every school in the country, but Mr. Blunt has other ideas and Alex must find out what it is.",Rule the school. Save the world.,40000000,23937870,8.778999,5.1,219,/pXfYr7BHsFe810Xb3KJr5k36Tbq.jpg,9978,tt0457495
Mr. Magorium's Wonder Emporium,Comedy,Canada,Mandate Pictures,93,11/14/07,"Molly Mahoney is the awkward and insecure manager of Mr. Magorium's Wonder Emporium, the strangest, most fantastic, most wonderful toy store in the world. But when Mr. Magorium bequeaths the store to her, a dark and ominous change begins to take over the once remarkable Emporium.",You have to believe it to see it.,0,69474661,8.696467,6,365,/75m4IBZE6gUrltcDgTSBTFg68QT.jpg,2284,tt0457419
Hachi: A Dog's Tale,Drama,United Kingdom,Grand Army Entertainment,93,6/13/09,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,"A true story of faith, devotion and undying love.",16000000,47801389,8.621359,7.7,1769,/3MpVmIg6CgOCUrZ2TZ2P0yitCbM.jpg,28178,tt1028532
Heist,Crime,United States of America,Emmett/Furla Films,93,11/13/15,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",Never make a bet you can't afford to lose.,8900000,4100000,8.476315,5.6,322,/t5tGykRvvlLBULIPsAJEzGg1ylm.jpg,336004,tt3276924
May,Drama,United States of America,A Loopy Production LLC,93,1/13/02,"Psychological horror about a lonely young woman traumatized by a difficult childhood, and her increasingly desperate attempts to connect with the people around her.",Be Careful... She Just Might Take Your Heart.,500000,150277,8.398158,6.3,153,/kUaoxNyLFhZ8tOKFXu4xQnZJYxa.jpg,10894,tt0303361
Tenacious D in The Pick of Destiny,Comedy,United States of America,New Line Cinema,93,11/22/06,"In Venice Beach, naive Midwesterner JB bonds with local slacker KG and they form the rock band Tenacious D. Setting out to become the world's greatest band is no easy feat, so they set out to steal what could be the answer to their prayers... a magical guitar pick housed in a rock-and-roll museum some 300 miles away.",An epic quest. A magical guitar pick. A chance to put the D in Destiny.,22000000,13405595,7.98193,6.5,419,/gQThU8AftVJEBug4ToHUbQ3Lg7M.jpg,2179,tt0365830
Scooby-Doo 2: Monsters Unleashed,Mystery,United States of America,Mosaic Media Group,93,3/24/04,"When Mystery, Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains...Could it be that their nemesis, mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest foes?",They came. They saw. They ran.,0,181466833,7.65458,5.4,519,/vEp6qw25qY2n03O9EaeiWNv89vb.jpg,11024,tt0331632
The Double,Thriller,United Kingdom,British Film Institute (BFI),93,4/4/14,An awkward office drone becomes increasingly unhinged after a charismatic and confident look-alike takes a job at his workplace and seduces the woman he desires.,,0,200406,7.597475,6.5,344,/hN6bP9XWKHI8JhlZpk8ieF1lcyG.jpg,146015,tt1825157
"Good Night, and Good Luck.",Drama,France,2929 Productions,93,9/16/05,"The story of journalist, Edward R Murrow's stand against Senator McCarthy's anti-communist witch-hunts in the early 1950s.",They took on the Government with nothing but the truth.,7000000,54600000,7.523098,6.8,274,/2sW2FVIvrYs4NbYKMitjogeFw84.jpg,3291,tt0433383
